ccaa,complete_80,pop_80,perc_80,complete_70,pop_70,perc_70,complete_60,perc_60,complete_50,pop_50,perc_50,complete_25,pop_25,perc_25,complete_18,pop_18,perc_18,complete_16,pop_16,perc_16,complete_total,pop_total,perc_total,fecha
"Canarias","41.689","90.236","46,2%","14.438","235.092","9,3%","9.665","4,1%","17.397","350.512","5,0%","34.945","832.411","4,2%","2.435","163.899","1,5%","23","44.352","0,1%","120.592","1.871.033","6,4%","2021-04-18T22:00:00.000Z"
"Canarias","43.989","90.236","48,7%","14.577","235.092","9,4%","9.690","4,1%","17.407","350.512","5,0%","34.962","832.411","4,2%","2.439","163.899","1,5%","23","44.352","0,1%","123.087","1.871.033","6,6%","2021-04-19T22:00:00.000Z"
"Canarias","48.036","90.236","53,2%","15.292","235.092","9,9%","9.864","4,2%","17.488","350.512","5,0%","35.142","832.411","4,2%","2.459","163.899","1,5%","24","44.352","0,1%","128.305","1.871.033","6,9%","2021-04-20T22:00:00.000Z"
"Canarias","51.476","90.236","57,0%","16.135","235.092","10,4%","9.944","4,2%","17.547","350.512","5,0%","35.227","832.411","4,2%","2.467","163.899","1,5%","25","44.352","0,1%","132.821","1.871.033","7,1%","2021-04-21T22:00:00.000Z"
"Canarias","53.490","90.236","59,3%","16.629","235.092","10,8%","9.985","4,2%","17.589","350.512","5,0%","35.307","832.411","4,2%","2.471","163.899","1,5%","25","44.352","0,1%","135.496","1.871.033","7,2%","2021-04-22T22:00:00.000Z"
"Canarias","55.101","90.236","61,1%","21.095","235.092","13,7%","10.018","4,3%","17.638","350.512","5,0%","35.468","832.411","4,3%","2.485","163.899","1,5%","25","44.352","0,1%","141.830","1.871.033","7,6%","2021-04-25T22:00:00.000Z"
"Canarias","56.514","90.236","62,6%","22.163","235.092","14,3%","10.030","4,3%","17.656","350.512","5,0%","35.505","832.411","4,3%","2.486","163.899","1,5%","26","44.352","0,1%","144.380","1.871.033","7,7%","2021-04-26T22:00:00.000Z"
"Canarias","60.683","90.236","67,2%","24.393","235.092","15,8%","10.099","4,3%","17.696","350.512","5,0%","35.635","832.411","4,3%","2.495","163.899","1,5%","28","44.352","0,1%","151.029","1.871.033","8,1%","2021-04-27T22:00:00.000Z"
"Canarias","64.968","90.236","72,0%","27.293","235.092","17,7%","10.320","4,4%","17.801","350.512","5,1%","35.812","832.411","4,3%","2.504","163.899","1,5%","33","44.352","0,1%","158.731","1.871.033","8,5%","2021-04-28T22:00:00.000Z"
"Canarias","64.969","90.236","72,0%","27.293","235.092","17,7%","10.320","4,4%","17.801","350.512","5,1%","35.812","832.411","4,3%","2.504","163.899","1,5%","33","44.352","0,1%","158.732","1.871.033","8,5%","2021-04-29T22:00:00.000Z"
"Canarias","71.260","90.236","79,0%","35.696","235.092","23,1%","11.730","5,0%","18.140","350.512","5,2%","36.302","832.411","4,4%","2.585","163.899","1,6%","35","44.352","0,1%","175.748","1.871.033","9,4%","2021-05-02T22:00:00.000Z"
"Canarias","72.460","90.236","80,3%","38.762","235.092","25,1%","12.938","5,5%","18.258","350.512","5,2%","36.409","832.411","4,4%","2.594","163.899","1,6%","35","44.352","0,1%","181.456","1.871.033","9,7%","2021-05-03T22:00:00.000Z"
"Canarias","75.148","90.236","83,3%","45.816","235.092","29,6%","14.904","6,3%","18.394","350.512","5,2%","36.580","832.411","4,4%","2.606","163.899","1,6%","35","44.352","0,1%","193.483","1.871.033","10,3%","2021-05-04T22:00:00.000Z"
"Canarias","76.962","90.236","85,3%","53.886","235.092","34,9%","15.324","6,5%","18.614","350.512","5,3%","36.752","832.411","4,4%","2.616","163.899","1,6%","35","44.352","0,1%","204.189","1.871.033","10,9%","2021-05-05T22:00:00.000Z"
"Canarias","78.429","90.236","86,9%","61.573","235.092","39,8%","15.761","6,7%","18.877","350.512","5,4%","37.007","832.411","4,4%","2.631","163.899","1,6%","38","44.352","0,1%","214.316","1.871.033","11,5%","2021-05-06T22:00:00.000Z"
"Canarias","80.109","90.236","88,8%","69.893","235.092","45,2%","16.465","7,0%","19.192","350.512","5,5%","37.327","832.411","4,5%","2.668","163.899","1,6%","40","44.352","0,1%","225.694","1.871.033","12,1%","2021-05-09T22:00:00.000Z"
"Canarias","80.669","90.236","89,4%","73.416","235.092","47,5%","16.740","7,1%","19.326","350.512","5,5%","37.486","832.411","4,5%","2.685","163.899","1,6%","40","44.352","0,1%","230.362","1.871.033","12,3%","2021-05-10T22:00:00.000Z"
"Canarias","81.457","90.236","90,3%","80.754","235.092","52,3%","17.008","7,2%","19.516","350.512","5,6%","37.684","832.411","4,5%","2.727","163.899","1,7%","43","44.352","0,1%","239.189","1.871.033","12,8%","2021-05-11T22:00:00.000Z"
"Canarias","82.164","90.236","91,1%","87.461","235.092","56,6%","17.370","7,4%","19.780","350.512","5,6%","37.899","832.411","4,6%","2.751","163.899","1,7%","43","44.352","0,1%","247.468","1.871.033","13,2%","2021-05-12T22:00:00.000Z"
"Canarias","82.825","90.236","91,8%","94.944","235.092","61,4%","17.593","7,5%","19.981","350.512","5,7%","38.095","832.411","4,6%","2.765","163.899","1,7%","44","44.352","0,1%","256.247","1.871.033","13,7%","2021-05-13T22:00:00.000Z"
"Canarias","83.359","90.236","92,4%","102.741","235.092","66,5%","17.969","7,6%","21.790","350.512","6,2%","38.391","832.411","4,6%","2.777","163.899","1,7%","46","44.352","0,1%","267.073","1.871.033","14,3%","2021-05-16T22:00:00.000Z"
"Canarias","83.803","90.236","92,9%","105.857","235.092","68,5%","18.077","7,7%","22.475","350.512","6,4%","38.484","832.411","4,6%","2.793","163.899","1,7%","47","44.352","0,1%","271.536","1.871.033","14,5%","2021-05-17T22:00:00.000Z"
"Canarias","84.211","90.236","93,3%","110.051","235.092","71,2%","18.238","7,8%","22.965","350.512","6,6%","38.622","832.411","4,6%","2.805","163.899","1,7%","47","44.352","0,1%","276.939","1.871.033","14,8%","2021-05-18T22:00:00.000Z"
"Canarias","84.271","90.236","93,4%","110.601","235.092","71,6%","18.269","7,8%","23.372","350.512","6,7%","38.657","832.411","4,6%","2.805","163.899","1,7%","47","44.352","0,1%","278.022","1.871.033","14,9%","2021-05-19T22:00:00.000Z"
"Canarias","84.578","90.236","93,7%","113.981","235.092","73,8%","18.468","7,9%","24.955","350.512","7,1%","38.810","832.411","4,7%","2.822","163.899","1,7%","48","44.352","0,1%","283.662","1.871.033","15,2%","2021-05-20T22:00:00.000Z"
"Canarias","84.944","90.236","94,1%","117.505","235.092","76,0%","18.719","8,0%","26.637","350.512","7,6%","39.080","832.411","4,7%","2.846","163.899","1,7%","50","44.352","0,1%","289.781","1.871.033","15,5%","2021-05-23T22:00:00.000Z"
"Canarias","85.560","90.236","94,8%","122.898","235.092","79,5%","19.087","8,1%","30.313","350.512","8,6%","39.431","832.411","4,7%","2.869","163.899","1,8%","54","44.352","0,1%","300.212","1.871.033","16,0%","2021-05-24T22:00:00.000Z"
"Canarias","85.798","90.236","95,1%","124.690","235.092","80,7%","19.273","8,2%","32.532","350.512","9,3%","39.654","832.411","4,8%","2.892","163.899","1,8%","56","44.352","0,1%","304.895","1.871.033","16,3%","2021-05-25T22:00:00.000Z"
"Canarias","86.034","90.236","95,3%","126.325","235.092","81,7%","19.496","8,3%","34.588","350.512","9,9%","39.824","832.411","4,8%","2.907","163.899","1,8%","56","44.352","0,1%","309.230","1.871.033","16,5%","2021-05-26T22:00:00.000Z"
"Canarias","86.280","90.236","95,6%","128.317","235.092","83,0%","19.720","8,4%","36.940","350.512","10,5%","40.484","832.411","4,9%","2.943","163.899","1,8%","58","44.352","0,1%","314.742","1.871.033","16,8%","2021-05-27T22:00:00.000Z"
"Canarias","86.673","90.236","96,1%","131.815","235.092","85,3%","19.950","8,5%","41.373","350.512","11,8%","41.815","832.411","5,0%","3.018","163.899","1,8%","61","44.352","0,1%","324.705","1.871.033","17,4%","2021-05-30T22:00:00.000Z"
"Canarias","86.826","90.236","96,2%","133.159","235.092","86,2%","20.074","8,5%","44.369","350.512","12,7%","42.897","832.411","5,2%","3.050","163.899","1,9%","61","44.352","0,1%","330.436","1.871.033","17,7%","2021-05-31T22:00:00.000Z"
"Canarias","86.942","90.236","96,3%","134.519","235.092","87,0%","20.265","8,6%","55.799","350.512","15,9%","44.842","832.411","5,4%","3.154","163.899","1,9%","62","44.352","0,1%","345.583","1.871.033","18,5%","2021-06-01T22:00:00.000Z"
"Canarias","87.082","90.236","96,5%","135.440","235.092","87,6%","22.586","9,6%","61.925","350.512","17,7%","46.495","832.411","5,6%","3.278","163.899","2,0%","62","44.352","0,1%","356.868","1.871.033","19,1%","2021-06-02T22:00:00.000Z"
"Canarias","90.764","100,0%","145.885","94,4%","65,8%","86,0%","230.703","90.646","23,4%","46.766","10,5%","8.184","5,0%","91","0,2%","815.230","1.871.033","43,6%",,,,,,"2021-06-03T22:00:00.000Z"
"Cantabria","22.177","41.042","54,0%","1.660","77.345","3,1%","3.704","4,8%","5.521","89.964","6,1%","10.397","194.241","5,4%","594","34.935","1,7%","3","10.791","0,0%","44.056","501.384","8,8%","2021-03-30T22:00:00.000Z"
"Cantabria","22.177","41.042","54,0%","1.660","77.345","3,1%","3.704","4,8%","5.521","89.964","6,1%","10.397","194.241","5,4%","594","34.935","1,7%","3","10.791","0,0%","44.056","501.384","8,8%","2021-03-31T22:00:00.000Z"
"Cantabria","22.902","41.042","55,8%","1.667","77.345","3,1%","3.712","4,8%","5.528","89.964","6,1%","10.407","194.241","5,4%","595","34.935","1,7%","3","10.791","0,0%","44.814","501.384","8,9%","2021-04-02T22:00:00.000Z"
"Cantabria","22.902","41.042","55,8%","1.667","77.345","3,1%","3.712","4,8%","5.528","89.964","6,1%","10.407","194.241","5,4%","595","34.935","1,7%","3","10.791","0,0%","44.814","501.384","8,9%","2021-04-04T22:00:00.000Z"
"Cantabria","22.936","41.042","55,9%","1.668","77.345","3,1%","3.715","4,8%","5.528","89.964","6,1%","10.416","194.241","5,4%","595","34.935","1,7%","3","10.791","0,0%","44.861","501.384","8,9%","2021-04-05T22:00:00.000Z"
"Cantabria","23.021","41.042","56,1%","1.673","77.345","3,2%","3.719","4,8%","5.530","89.964","6,1%","10.419","194.241","5,4%","596","34.935","1,7%","3","10.791","0,0%","44.961","501.384","9,0%","2021-04-06T22:00:00.000Z"
"Cantabria","23.021","41.042","56,1%","1.673","77.345","3,2%","3.719","4,8%","5.530","89.964","6,1%","10.420","194.241","5,4%","596","34.935","1,7%","3","10.791","0,0%","44.962","501.384","9,0%","2021-04-07T22:00:00.000Z"
"Cantabria","23.063","41.042","56,2%","1.674","77.345","3,2%","3.720","4,8%","5.536","89.964","6,2%","10.432","194.241","5,4%","599","34.935","1,7%","3","10.791","0,0%","45.027","501.384","9,0%","2021-04-08T22:00:00.000Z"
"Cantabria","23.155","41.042","56,4%","1.694","77.345","3,2%","3.755","4,9%","5.582","89.964","6,2%","10.545","194.241","5,4%","612","34.935","1,8%","3","10.791","0,0%","45.346","501.384","9,0%","2021-04-11T22:00:00.000Z"
"Cantabria","23.471","41.042","57,2%","1.700","77.345","3,2%","3.763","4,9%","5.594","89.964","6,2%","10.590","194.241","5,5%","613","34.935","1,8%","3","10.791","0,0%","45.734","501.384","9,1%","2021-04-12T22:00:00.000Z"
"Cantabria","23.855","41.042","58,1%","1.704","77.345","3,2%","3.768","4,9%","5.599","89.964","6,2%","10.616","194.241","5,5%","614","34.935","1,8%","3","10.791","0,0%","46.159","501.384","9,2%","2021-04-13T22:00:00.000Z"
"Cantabria","24.821","41.042","60,5%","1.723","77.345","3,2%","3.773","4,9%","5.608","89.964","6,2%","10.625","194.241","5,5%","615","34.935","1,8%","4","10.791","0,0%","47.169","501.384","9,4%","2021-04-14T22:00:00.000Z"
"Cantabria","25.481","41.042","62,1%","1.729","77.345","3,3%","3.775","4,9%","5.623","89.964","6,3%","10.682","194.241","5,5%","620","34.935","1,8%","4","10.791","0,0%","47.914","501.384","9,6%","2021-04-15T22:00:00.000Z"
"Cantabria","26.373","41.042","64,3%","1.731","77.345","3,3%","3.776","4,9%","5.629","89.964","6,3%","10.694","194.241","5,5%","622","34.935","1,8%","5","10.791","0,0%","48.830","501.384","9,7%","2021-04-18T22:00:00.000Z"
"Cantabria","28.028","41.042","68,3%","1.737","77.345","3,3%","3.796","4,9%","5.648","89.964","6,3%","10.711","194.241","5,5%","625","34.935","1,8%","5","10.791","0,0%","50.550","501.384","10,1%","2021-04-19T22:00:00.000Z"
"Cantabria","30.416","41.042","74,1%","1.769","77.345","3,3%","3.821","4,9%","5.694","89.964","6,3%","10.817","194.241","5,6%","631","34.935","1,8%","5","10.791","0,0%","53.153","501.384","10,6%","2021-04-20T22:00:00.000Z"
"Cantabria","32.412","41.042","79,0%","1.850","77.345","3,5%","3.841","5,0%","5.722","89.964","6,4%","10.928","194.241","5,6%","643","34.935","1,8%","5","10.791","0,0%","55.401","501.384","11,0%","2021-04-21T22:00:00.000Z"
"Cantabria","32.515","41.042","79,2%","1.854","77.345","3,5%","3.879","5,0%","5.775","89.964","6,4%","11.056","194.241","5,7%","643","34.935","1,8%","5","10.791","0,0%","55.727","501.384","11,1%","2021-04-22T22:00:00.000Z"
"Cantabria","32.534","41.042","79,3%","1.865","77.345","3,5%","3.915","5,1%","5.867","89.964","6,5%","11.259","194.241","5,8%","653","34.935","1,9%","5","10.791","0,0%","56.098","501.384","11,2%","2021-04-25T22:00:00.000Z"
"Cantabria","33.615","41.042","81,9%","2.052","77.345","3,9%","3.919","5,1%","5.872","89.964","6,5%","11.273","194.241","5,8%","653","34.935","1,9%","5","10.791","0,0%","57.389","501.384","11,4%","2021-04-26T22:00:00.000Z"
"Cantabria","35.462","41.042","86,4%","4.836","77.345","9,1%","3.932","5,1%","5.893","89.964","6,6%","11.305","194.241","5,8%","658","34.935","1,9%","5","10.791","0,0%","62.091","501.384","12,4%","2021-04-27T22:00:00.000Z"
"Cantabria","36.141","41.042","88,1%","5.301","77.345","10,0%","3.945","5,1%","5.894","89.964","6,6%","11.306","194.241","5,8%","658","34.935","1,9%","5","10.791","0,0%","63.250","501.384","12,6%","2021-04-28T22:00:00.000Z"
"Cantabria","37.353","41.042","91,0%","8.794","77.345","16,6%","3.958","5,1%","5.899","89.964","6,6%","11.318","194.241","5,8%","661","34.935","1,9%","5","10.791","0,0%","67.988","501.384","13,6%","2021-04-29T22:00:00.000Z"
"Cantabria","38.330","41.042","93,4%","12.343","77.345","23,3%","3.970","5,1%","5.913","89.964","6,6%","11.342","194.241","5,8%","663","34.935","1,9%","5","10.791","0,0%","72.566","501.384","14,5%","2021-05-02T22:00:00.000Z"
"Cantabria","38.863","41.042","94,7%","12.506","77.345","23,6%","3.976","5,1%","5.917","89.964","6,6%","11.348","194.241","5,8%","663","34.935","1,9%","5","10.791","0,0%","73.278","501.384","14,6%","2021-05-03T22:00:00.000Z"
"Cantabria","39.154","41.042","95,4%","16.023","77.345","30,2%","3.986","5,2%","5.921","89.964","6,6%","11.359","194.241","5,8%","667","34.935","1,9%","5","10.791","0,0%","77.115","501.384","15,4%","2021-05-04T22:00:00.000Z"
"Cantabria","39.388","41.042","96,0%","19.125","77.345","36,0%","4.035","5,2%","5.924","89.964","6,6%","11.377","194.241","5,9%","668","34.935","1,9%","5","10.791","0,0%","80.522","501.384","16,1%","2021-05-05T22:00:00.000Z"
"Cantabria","39.580","41.042","96,4%","22.324","77.345","42,1%","4.099","5,3%","5.926","89.964","6,6%","11.381","194.241","5,9%","670","34.935","1,9%","5","10.791","0,0%","83.985","501.384","16,8%","2021-05-06T22:00:00.000Z"
"Cantabria","39.835","41.042","97,1%","26.203","77.345","49,4%","4.151","5,4%","5.935","89.964","6,6%","11.385","194.241","5,9%","670","34.935","1,9%","5","10.791","0,0%","88.184","501.384","17,6%","2021-05-09T22:00:00.000Z"
"Cantabria","39.928","41.042","97,3%","26.478","77.345","49,9%","4.208","5,4%","5.947","89.964","6,6%","11.411","194.241","5,9%","671","34.935","1,9%","5","10.791","0,0%","88.648","501.384","17,7%","2021-05-10T22:00:00.000Z"
"Cantabria","40.100","41.042","97,7%","28.384","77.345","53,5%","4.243","5,5%","5.962","89.964","6,6%","11.435","194.241","5,9%","671","34.935","1,9%","5","10.791","0,0%","90.800","501.384","18,1%","2021-05-11T22:00:00.000Z"
"Cantabria","40.267","41.042","98,1%","29.552","77.345","55,7%","4.282","5,5%","5.998","89.964","6,7%","11.465","194.241","5,9%","674","34.935","1,9%","5","10.791","0,0%","92.243","501.384","18,4%","2021-05-12T22:00:00.000Z"
"Cantabria","40.593","41.042","98,9%","32.733","77.345","61,7%","4.358","5,6%","6.060","89.964","6,7%","11.548","194.241","5,9%","683","34.935","2,0%","5","10.791","0,0%","95.980","501.384","19,1%","2021-05-13T22:00:00.000Z"
"Cantabria","40.874","41.042","99,6%","35.761","77.345","67,4%","4.575","5,9%","6.359","89.964","7,1%","12.090","194.241","6,2%","707","34.935","2,0%","5","10.791","0,0%","100.371","501.384","20,0%","2021-05-16T22:00:00.000Z"
"Cantabria","40.963","41.042","99,8%","37.999","77.345","71,6%","4.674","6,0%","6.404","89.964","7,1%","12.119","194.241","6,2%","710","34.935","2,0%","5","10.791","0,0%","102.874","501.384","20,5%","2021-05-17T22:00:00.000Z"
"Cantabria","41.016","41.042","99,9%","39.154","77.345","73,8%","4.767","6,2%","6.665","89.964","7,4%","12.145","194.241","6,3%","712","34.935","2,0%","5","10.791","0,0%","104.464","501.384","20,8%","2021-05-18T22:00:00.000Z"
"Cantabria","41.133","41.042","100,0%","43.044","77.345","81,1%","4.959","6,4%","6.916","89.964","7,7%","12.208","194.241","6,3%","723","34.935","2,1%","5","10.791","0,0%","108.988","501.384","21,7%","2021-05-19T22:00:00.000Z"
"Cantabria","41.156","41.042","100,0%","44.317","77.345","83,5%","5.029","6,5%","6.957","89.964","7,7%","12.248","194.241","6,3%","723","34.935","2,1%","5","10.791","0,0%","110.435","501.384","22,0%","2021-05-20T22:00:00.000Z"
"Cantabria","41.181","41.042","100,0%","47.321","77.345","89,2%","5.671","7,3%","7.059","89.964","7,8%","12.379","194.241","6,4%","729","34.935","2,1%","5","10.791","0,0%","114.345","501.384","22,8%","2021-05-23T22:00:00.000Z"
"Cantabria","41.207","41.042","100,0%","48.431","77.345","91,3%","6.349","8,2%","7.144","89.964","7,9%","12.512","194.241","6,4%","737","34.935","2,1%","5","10.791","0,0%","116.385","501.384","23,2%","2021-05-24T22:00:00.000Z"
"Cantabria","41.239","41.042","100,0%","50.262","77.345","94,7%","6.922","8,9%","7.260","89.964","8,1%","12.546","194.241","6,5%","739","34.935","2,1%","5","10.791","0,0%","118.973","501.384","23,7%","2021-05-25T22:00:00.000Z"
"Cantabria","41.260","41.042","100,0%","51.132","77.345","96,4%","7.896","10,2%","7.326","89.964","8,1%","12.587","194.241","6,5%","739","34.935","2,1%","5","10.791","0,0%","120.945","501.384","24,1%","2021-05-26T22:00:00.000Z"
"Cantabria","41.270","41.042","100,0%","51.440","77.345","96,9%","8.449","10,9%","7.387","89.964","8,2%","12.626","194.241","6,5%","741","34.935","2,1%","5","10.791","0,0%","121.918","501.384","24,3%","2021-05-27T22:00:00.000Z"
"Cantabria","41.302","41.042","100,0%","52.855","77.345","99,6%","10.012","12,9%","7.517","89.964","8,4%","12.672","194.241","6,5%","746","34.935","2,1%","5","10.791","0,0%","125.109","501.384","25,0%","2021-05-30T22:00:00.000Z"
"Cantabria","41.338","41.042","100,0%","53.432","77.345","100,0%","11.371","14,7%","8.011","89.964","8,9%","12.708","194.241","6,5%","748","34.935","2,1%","6","10.791","0,1%","127.614","501.384","25,5%","2021-05-31T22:00:00.000Z"
"Cantabria","41.360","41.042","100,0%","53.719","77.345","100,0%","15.359","19,9%","8.585","89.964","9,5%","12.930","194.241","6,7%","767","34.935","2,2%","7","10.791","0,1%","132.727","501.384","26,5%","2021-06-01T22:00:00.000Z"
"Cantabria","41.387","41.042","100,0%","54.054","77.345","100,0%","17.825","23,0%","9.649","89.964","10,7%","13.149","194.241","6,8%","774","34.935","2,2%","7","10.791","0,1%","136.845","501.384","27,3%","2021-06-02T22:00:00.000Z"
"Cantabria","42.031","100,0%","55.353","100,0%","64,1%","92,7%","57.659","14.823","15,2%","12.625","13,1%","1.845","5,3%","10","0,1%","256.056","501.384","51,1%",,,,,,"2021-06-03T22:00:00.000Z"
"Castilla y Leon","96.294","223.657","43,1%","8.627","318.575","3,5%","19.766","6,2%","29.602","381.175","7,8%","41.137","738.950","5,6%","2.562","144.422","1,8%","76","40.684","0,2%","198.064","2.092.873","9,5%","2021-03-30T22:00:00.000Z"
"Castilla y Leon","104.815","223.657","46,9%","9.036","318.575","3,7%","19.853","6,2%","29.702","381.175","7,8%","41.296","738.950","5,6%","2.580","144.422","1,8%","82","40.684","0,2%","207.364","2.092.873","9,9%","2021-03-31T22:00:00.000Z"
"Castilla y Leon","105.622","223.657","47,2%","9.128","318.575","3,7%","19.863","6,2%","29.716","381.175","7,8%","41.318","738.950","5,6%","2.583","144.422","1,8%","82","40.684","0,2%","208.312","2.092.873","10,0%","2021-04-02T22:00:00.000Z"
"Castilla y Leon","105.646","223.657","47,2%","9.128","318.575","3,7%","19.865","6,2%","29.714","381.175","7,8%","41.320","738.950","5,6%","2.583","144.422","1,8%","82","40.684","0,2%","208.338","2.092.873","10,0%","2021-04-04T22:00:00.000Z"
"Castilla y Leon","110.578","223.657","49,4%","9.201","318.575","3,7%","19.963","6,3%","29.803","381.175","7,8%","41.433","738.950","5,6%","2.593","144.422","1,8%","82","40.684","0,2%","213.653","2.092.873","10,2%","2021-04-05T22:00:00.000Z"
"Castilla y Leon","116.682","223.657","52,2%","9.334","318.575","3,8%","20.036","6,3%","29.897","381.175","7,8%","41.641","738.950","5,6%","2.609","144.422","1,8%","82","40.684","0,2%","220.281","2.092.873","10,5%","2021-04-06T22:00:00.000Z"
"Castilla y Leon","121.330","223.657","54,2%","9.480","318.575","3,9%","20.063","6,3%","29.931","381.175","7,9%","41.697","738.950","5,6%","2.618","144.422","1,8%","83","40.684","0,2%","225.202","2.092.873","10,8%","2021-04-07T22:00:00.000Z"
"Castilla y Leon","125.599","223.657","56,2%","9.593","318.575","3,9%","20.102","6,3%","29.983","381.175","7,9%","41.800","738.950","5,7%","2.626","144.422","1,8%","83","40.684","0,2%","229.786","2.092.873","11,0%","2021-04-08T22:00:00.000Z"
"Castilla y Leon","128.589","223.657","57,5%","9.756","318.575","4,0%","20.161","6,3%","30.052","381.175","7,9%","41.960","738.950","5,7%","2.637","144.422","1,8%","85","40.684","0,2%","233.240","2.092.873","11,1%","2021-04-11T22:00:00.000Z"
"Castilla y Leon","129.825","223.657","58,0%","9.828","318.575","4,0%","20.218","6,3%","30.131","381.175","7,9%","42.092","738.950","5,7%","2.648","144.422","1,8%","85","40.684","0,2%","234.827","2.092.873","11,2%","2021-04-12T22:00:00.000Z"
"Castilla y Leon","132.837","223.657","59,4%","9.873","318.575","4,0%","20.251","6,4%","30.171","381.175","7,9%","42.160","738.950","5,7%","2.654","144.422","1,8%","86","40.684","0,2%","238.032","2.092.873","11,4%","2021-04-13T22:00:00.000Z"
"Castilla y Leon","136.881","223.657","61,2%","9.916","318.575","4,0%","20.274","6,4%","30.194","381.175","7,9%","42.240","738.950","5,7%","2.660","144.422","1,8%","86","40.684","0,2%","242.251","2.092.873","11,6%","2021-04-14T22:00:00.000Z"
"Castilla y Leon","141.555","223.657","63,3%","10.064","318.575","4,1%","20.315","6,4%","30.256","381.175","7,9%","42.365","738.950","5,7%","2.673","144.422","1,9%","88","40.684","0,2%","247.316","2.092.873","11,8%","2021-04-15T22:00:00.000Z"
"Castilla y Leon","144.888","223.657","64,8%","10.277","318.575","4,2%","20.443","6,4%","30.383","381.175","8,0%","42.654","738.950","5,8%","2.704","144.422","1,9%","88","40.684","0,2%","251.437","2.092.873","12,0%","2021-04-18T22:00:00.000Z"
"Castilla y Leon","146.896","223.657","65,7%","10.905","318.575","4,4%","20.493","6,4%","30.426","381.175","8,0%","42.724","738.950","5,8%","2.708","144.422","1,9%","88","40.684","0,2%","254.240","2.092.873","12,1%","2021-04-19T22:00:00.000Z"
"Castilla y Leon","153.679","223.657","68,7%","12.089","318.575","4,9%","20.566","6,5%","30.507","381.175","8,0%","42.829","738.950","5,8%","2.717","144.422","1,9%","89","40.684","0,2%","262.476","2.092.873","12,5%","2021-04-20T22:00:00.000Z"
"Castilla y Leon","159.297","223.657","71,2%","13.481","318.575","5,5%","20.639","6,5%","30.574","381.175","8,0%","42.931","738.950","5,8%","2.723","144.422","1,9%","89","40.684","0,2%","269.734","2.092.873","12,9%","2021-04-21T22:00:00.000Z"
"Castilla y Leon","159.297","223.657","71,2%","13.481","318.575","5,5%","20.639","6,5%","30.574","381.175","8,0%","42.931","738.950","5,8%","2.723","144.422","1,9%","89","40.684","0,2%","269.734","2.092.873","12,9%","2021-04-22T22:00:00.000Z"
"Castilla y Leon","163.619","223.657","73,2%","16.298","318.575","6,6%","20.792","6,5%","30.715","381.175","8,1%","43.124","738.950","5,8%","2.745","144.422","1,9%","90","40.684","0,2%","277.383","2.092.873","13,3%","2021-04-25T22:00:00.000Z"
"Castilla y Leon","166.294","223.657","74,4%","18.190","318.575","7,4%","21.196","6,7%","30.840","381.175","8,1%","43.244","738.950","5,9%","2.755","144.422","1,9%","90","40.684","0,2%","282.609","2.092.873","13,5%","2021-04-26T22:00:00.000Z"
"Castilla y Leon","173.340","223.657","77,5%","20.463","318.575","8,3%","21.867","6,9%","30.928","381.175","8,1%","43.353","738.950","5,9%","2.761","144.422","1,9%","91","40.684","0,2%","292.803","2.092.873","14,0%","2021-04-27T22:00:00.000Z"
"Castilla y Leon","183.462","223.657","82,0%","24.122","318.575","9,8%","22.165","7,0%","30.998","381.175","8,1%","43.476","738.950","5,9%","2.771","144.422","1,9%","91","40.684","0,2%","307.085","2.092.873","14,7%","2021-04-28T22:00:00.000Z"
"Castilla y Leon","195.608","223.657","87,5%","32.419","318.575","13,2%","22.587","7,1%","31.065","381.175","8,1%","43.564","738.950","5,9%","2.782","144.422","1,9%","91","40.684","0,2%","328.116","2.092.873","15,7%","2021-04-29T22:00:00.000Z"
"Castilla y Leon","208.320","223.657","93,1%","37.472","318.575","15,3%","25.290","7,9%","31.140","381.175","8,2%","43.683","738.950","5,9%","2.797","144.422","1,9%","91","40.684","0,2%","348.793","2.092.873","16,7%","2021-05-02T22:00:00.000Z"
"Castilla y Leon","210.814","223.657","94,3%","41.343","318.575","16,8%","25.878","8,1%","31.253","381.175","8,2%","43.810","738.950","5,9%","2.809","144.422","1,9%","91","40.684","0,2%","355.998","2.092.873","17,0%","2021-05-03T22:00:00.000Z"
"Castilla y Leon","214.312","223.657","95,8%","48.336","318.575","19,7%","27.389","8,6%","31.342","381.175","8,2%","43.916","738.950","5,9%","2.818","144.422","2,0%","91","40.684","0,2%","368.204","2.092.873","17,6%","2021-05-04T22:00:00.000Z"
"Castilla y Leon","216.418","223.657","96,8%","62.959","318.575","25,7%","28.712","9,0%","31.481","381.175","8,3%","44.025","738.950","6,0%","2.832","144.422","2,0%","93","40.684","0,2%","386.520","2.092.873","18,5%","2021-05-05T22:00:00.000Z"
"Castilla y Leon","218.990","223.657","97,9%","83.273","318.575","33,9%","31.101","9,8%","31.625","381.175","8,3%","44.166","738.950","6,0%","2.839","144.422","2,0%","94","40.684","0,2%","412.088","2.092.873","19,7%","2021-05-06T22:00:00.000Z"
"Castilla y Leon","220.008","223.657","98,4%","96.341","318.575","39,3%","34.398","10,8%","31.811","381.175","8,3%","44.351","738.950","6,0%","2.857","144.422","2,0%","96","40.684","0,2%","429.862","2.092.873","20,5%","2021-05-09T22:00:00.000Z"
